Ligand,Affinity,pIC50,MolWt,LogP,HBD,HBA,TPSA,RotBonds,Lipinski,GI_Absorption,BBB_Penetration,Bioavailability
ligand5,-10.728,14.045757490560675,310.35,3.1,1,4,62.13,3,✅,✅,✅,✅
ligand7,-10.676,14.045757490560675,310.35,3.1,2,4,73.13,2,✅,✅,✅,✅
ligand4,-9.88,14.05551732784983,310.35,3.1,1,4,62.13,3,✅,✅,✅,✅
ligand10,-9.716,14.0,314.77,3.74,1,3,52.9,2,✅,✅,✅,✅
ligand1,-9.673,14.096910013008056,294.35,3.4,1,3,52.9,2,✅,✅,✅,✅
ligand12,-9.215,13.0,294.35,3.4,1,3,52.9,2,✅,✅,✅,✅
ligand8,-9.08,14.0,340.38,3.11,1,5,71.36,4,✅,✅,✅,✅
ligand6,-9.075,14.045757490560675,326.35,2.8,2,5,82.36,3,✅,✅,✅,✅
ligand11,-8.976,13.0,314.77,3.74,1,3,52.9,2,✅,✅,✅,✅
ligand9,-8.865,14.0,330.77,3.45,2,4,73.13,2,✅,✅,✅,✅
ligand3,-8.864,14.065501548756432,314.77,3.74,1,3,52.9,2,✅,✅,✅,✅
ligand2,-8.421,14.096910013008056,326.35,2.8,2,5,82.36,3,✅,✅,✅,✅
ligand20,-7.644,7.431798275933005,226.28,2.01,1,3,36.36,3,✅,✅,✅,✅
ligand18,-7.218,8.2839966563652,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand15,-7.202,8.350665141287859,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand16,-7.182,8.346787486224656,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand14,-7.164,8.397940008672037,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand17,-7.16,8.309803919971486,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand13,-7.156,8.397940008672037,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
ligand19,-7.132,7.698970004336019,272.18,3.33,0,2,12.47,6,✅,✅,✅,✅
