Ligand,Best_Affinity_kcal_mol,Rank,canonical_smiles,pIC50
ligand5,-10.728,1,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,14.045757490560675
ligand7,-10.676,2,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,14.045757490560675
ligand4,-9.88,3,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,14.05551732784983
ligand10,-9.716,4,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,14.0
ligand1,-9.673,5,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,14.096910013008056
ligand12,-9.215,6,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,13.0
ligand8,-9.08,7,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,14.0
ligand6,-9.075,8,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,14.045757490560675
ligand11,-8.976,9,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,13.0
ligand9,-8.865,10,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,14.0
ligand3,-8.864,11,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,14.065501548756432
ligand2,-8.421,12,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,14.096910013008056
ligand20,-7.644,13,C#CCN(C)Cc1ccnc2c(O)cccc12,7.431798275933005
ligand18,-7.218,14,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.2839966563652
ligand15,-7.202,15,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.350665141287859
ligand16,-7.182,16,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.346787486224656
ligand14,-7.164,17,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.397940008672037
ligand17,-7.16,18,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.309803919971486
ligand13,-7.156,19,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,8.397940008672037
ligand19,-7.132,20,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,7.698970004336019
